Date,Cow,Predicted Body Weight (kg)
2022-02-20,Cow 19,485.69555521616735
2022-02-21,Cow 19,485.69555521616735
2022-02-22,Cow 19,485.69555521616735
2022-02-23,Cow 19,485.69555521616735
2022-02-24,Cow 19,485.69555521616735
2022-02-25,Cow 19,485.69555521616735
2022-02-26,Cow 19,485.69555521616735
2022-02-27,Cow 19,485.69555521616735
2022-02-28,Cow 19,485.69555521616735
2022-03-01,Cow 19,485.69555521616735
2022-02-15,Cow 20,455.11642045940357
2022-02-16,Cow 20,455.11642045940357
2022-02-17,Cow 20,455.11642045940357
2022-02-18,Cow 20,455.11642045940357
2022-02-19,Cow 20,455.11642045940357
2022-02-20,Cow 20,455.11642045940357
2022-02-21,Cow 20,455.11642045940357
2022-02-22,Cow 20,455.11642045940357
2022-02-23,Cow 20,455.11642045940357
2022-02-24,Cow 20,455.11642045940357
2022-02-25,Cow 20,455.11642045940357
2022-02-26,Cow 20,455.11642045940357
2022-02-27,Cow 20,455.11642045940357
2022-02-28,Cow 20,455.11642045940357
2022-03-01,Cow 20,455.11642045940357
2022-02-15,Cow 21,376.75164796069964
2022-02-16,Cow 21,376.75164796069964
2022-02-17,Cow 21,376.75164796069964
2022-02-18,Cow 21,376.75164796069964
2022-02-19,Cow 21,376.75164796069964
2022-02-20,Cow 21,376.75164796069964
2022-02-21,Cow 21,376.75164796069964
2022-02-22,Cow 21,376.75164796069964
2022-02-23,Cow 21,376.75164796069964
2022-02-24,Cow 21,376.75164796069964
2022-02-25,Cow 21,376.75164796069964
2022-02-26,Cow 21,376.75164796069964
2022-02-27,Cow 21,376.75164796069964
2022-02-28,Cow 21,376.75164796069964
2022-03-01,Cow 21,376.75164796069964
2022-02-15,Cow 22,451.7837521304378
2022-02-16,Cow 22,451.7837521304378
2022-02-17,Cow 22,451.7837521304378
2022-02-18,Cow 22,451.7837521304378
2022-02-19,Cow 22,451.7837521304378
2022-02-20,Cow 22,451.7837521304378
2022-02-21,Cow 22,451.7837521304378
2022-02-22,Cow 22,451.7837521304378
2022-02-23,Cow 22,451.7837521304378
2022-02-24,Cow 22,451.7837521304378
2022-02-25,Cow 22,451.7837521304378
2022-02-26,Cow 22,451.7837521304378
2022-02-27,Cow 22,451.7837521304378
2022-02-28,Cow 22,451.7837521304378
2022-03-01,Cow 22,451.7837521304378
2022-02-15,Cow 23,462.3218879491131
2022-02-16,Cow 23,462.3218879491131
2022-02-17,Cow 23,462.3218879491131
2022-02-18,Cow 23,462.3218879491131
2022-02-19,Cow 23,462.3218879491131
2022-02-20,Cow 23,462.3218879491131
2022-02-21,Cow 23,462.3218879491131
2022-02-22,Cow 23,462.3218879491131
2022-02-23,Cow 23,462.3218879491131
2022-02-24,Cow 23,462.3218879491131
2022-02-25,Cow 23,462.3218879491131
2022-02-26,Cow 23,462.3218879491131
2022-02-27,Cow 23,462.3218879491131
2022-02-28,Cow 23,462.3218879491131
2022-03-01,Cow 23,462.3218879491131
2022-02-15,Cow 24,461.98850789551165
2022-02-16,Cow 24,461.98850789551165
2022-02-17,Cow 24,461.98850789551165
2022-02-18,Cow 24,461.98850789551165
2022-02-19,Cow 24,461.98850789551165
2022-02-20,Cow 24,461.98850789551165
2022-02-21,Cow 24,461.98850789551165
2022-02-22,Cow 24,461.98850789551165
2022-02-23,Cow 24,461.98850789551165
2022-02-24,Cow 24,461.98850789551165
2022-02-25,Cow 24,461.98850789551165
2022-02-26,Cow 24,461.98850789551165
2022-02-27,Cow 24,461.98850789551165
2022-02-28,Cow 24,461.98850789551165
2022-03-01,Cow 24,461.98850789551165
2022-02-15,Cow 25,451.22250611213656
2022-02-16,Cow 25,451.22250611213656
2022-02-17,Cow 25,451.22250611213656
2022-02-18,Cow 25,451.22250611213656
2022-02-19,Cow 25,451.22250611213656
2022-02-20,Cow 25,451.22250611213656
2022-02-21,Cow 25,451.22250611213656
2022-02-22,Cow 25,451.22250611213656
2022-02-23,Cow 25,451.22250611213656
2022-02-24,Cow 25,451.22250611213656
2022-02-25,Cow 25,451.22250611213656
2022-02-26,Cow 25,451.22250611213656
2022-02-27,Cow 25,451.22250611213656
2022-02-28,Cow 25,451.22250611213656
2022-03-01,Cow 25,451.22250611213656
2022-02-15,Cow 26,454.49233577248043
2022-02-16,Cow 26,454.49233577248043
2022-02-17,Cow 26,454.49233577248043
2022-02-18,Cow 26,454.49233577248043
2022-02-19,Cow 26,454.49233577248043
2022-02-20,Cow 26,454.49233577248043
2022-02-21,Cow 26,454.49233577248043
2022-02-22,Cow 26,454.49233577248043
2022-02-23,Cow 26,454.49233577248043
2022-02-24,Cow 26,454.49233577248043
2022-02-25,Cow 26,454.49233577248043
2022-02-26,Cow 26,454.49233577248043
2022-02-27,Cow 26,454.49233577248043
2022-02-28,Cow 26,454.49233577248043
2022-03-01,Cow 26,454.49233577248043
2022-02-15,Cow 27,434.1282396785715
2022-02-16,Cow 27,434.1282396785715
2022-02-17,Cow 27,434.1282396785715
2022-02-18,Cow 27,434.1282396785715
2022-02-19,Cow 27,434.1282396785715
2022-02-20,Cow 27,434.1282396785715
2022-02-21,Cow 27,434.1282396785715
2022-02-22,Cow 27,434.1282396785715
2022-02-23,Cow 27,434.1282396785715
2022-02-24,Cow 27,434.1282396785715
2022-02-25,Cow 27,434.1282396785715
2022-02-26,Cow 27,434.1282396785715
2022-02-27,Cow 27,434.1282396785715
2022-02-28,Cow 27,434.1282396785715
2022-03-01,Cow 27,434.1282396785715
2022-02-15,Cow 28,463.82282332009135
2022-02-16,Cow 28,463.82282332009135
2022-02-17,Cow 28,463.82282332009135
2022-02-18,Cow 28,463.82282332009135
2022-02-19,Cow 28,463.82282332009135
2022-02-20,Cow 28,463.82282332009135
2022-02-21,Cow 28,463.82282332009135
2022-02-22,Cow 28,463.82282332009135
2022-02-23,Cow 28,463.82282332009135
